"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V640","2020-02-11 00:00:00","35.000","46.000","1.300","17.300","0.830","1018.900","","0.000","-99.000","-99.000","-99.000","22.300","","13.800",""
"C0S920","2020-02-11 00:00:00","98.000","0.000","0.200","16.700","0.860","1008.800","","0.000","-99.000","-99.000","-99.000","20.500","","15.100",""
"C0S830","2020-02-11 00:00:00","288.000","0.000","0.100","16.700","0.740","993.400","","0.000","-99.000","-99.000","-99.000","20.000","","13.600",""
"C0V800","2020-02-11 00:00:00","256.000","0.000","0.200","17.600","0.840","991.300","","0.000","-99.000","-99.000","-99.000","25.700","","16.100",""
"C0R140","2020-02-11 00:00:00","740.000","345.000","1.200","13.300","0.930","940.300","","0.000","-99.000","-99.000","-99.000","20.400","","11.700",""
"C0U750","2020-02-11 00:00:00","398.000","192.000","5.500","14.900","0.840","976.800","","0.000","-99.000","-99.000","-99.000","15.000","","10.900",""
"C0K410","2020-02-11 00:00:00","20.000","0.000","0.200","16.200","0.900","1019.900","","0.000","-99.000","-99.000","-99.000","22.300","","11.800",""
"C0W150","2020-02-11 00:00:00","42.000","39.000","1.400","15.400","0.740","1020.100","","0.000","-99.000","-99.000","-99.000","18.100","","11.000",""
"C0AH90","2020-02-11 00:00:00","660.000","0.000","0.000","8.200","0.990","950.900","","0.500","-99.000","-99.000","-99.000","11.800","","8.000",""
"C0F9K0","2020-02-11 00:00:00","30.000","353.000","1.200","16.600","0.930","1018.100","","0.000","-99.000","-99.000","-99.000","20.300","","12.200",""
"C0H990","2020-02-11 00:00:00","3076.000","199.000","2.600","4.100","0.640","708.900","","0.000","-99.000","-99.000","-99.000","6.200","","-2.500",""
"C0V260","2020-02-11 00:00:00","126.000","355.000","0.500","17.500","0.850","1008.000","","0.000","-99.000","-99.000","-99.000","26.700","","13.100",""
"C0S970","2020-02-11 00:00:00","19.000","327.000","1.400","19.000","0.680","1022.400","","0.000","-99.000","-99.000","-99.000","20.200","","16.800",""
"C0U940","2020-02-11 00:00:00","25.000","260.000","1.900","14.000","0.840","1022.200","","0.000","-99.000","-99.000","-99.000","17.700","","12.900",""
"C0A860","2020-02-11 00:00:00","362.000","264.000","1.200","13.500","0.810","980.500","","0.000","-99.000","-99.000","-99.000","17.100","","8.400",""
"C0I480","2020-02-11 00:00:00","2165.000","0.000","0.000","8.000","0.600","792.800","","0.000","-99.000","-99.000","-99.000","11.300","","1.900",""
"C0G910","2020-02-11 00:00:00","42.000","286.000","0.500","16.500","0.950","1018.900","","0.000","-99.000","-99.000","-99.000","22.800","","12.200",""
"C0X080","2020-02-11 00:00:00","2.000","359.000","0.300","15.100","0.980","1022.700","","0.000","-99.000","-99.000","-99.000","23.800","","10.600",""
"C0AH00","2020-02-11 00:00:00","38.000","307.000","0.800","15.300","0.830","1017.900","","0.000","-99.000","-99.000","-99.000","19.400","","11.300",""
"C0V700","2020-02-11 00:00:00","24.000","19.000","1.800","19.200","0.710","1019.100","","0.000","-99.000","-99.000","-99.000","23.000","","16.000",""
"C0AD00","2020-02-11 00:00:00","86.000","202.000","1.000","16.000","0.790","1012.500","","0.000","-99.000","-99.000","-99.000","20.100","","13.700",""
"C0O900","2020-02-11 00:00:00","9.000","335.000","1.500","16.900","0.990","1022.000","","0.000","-99.000","-99.000","-99.000","24.700","","12.400",""
"C0R570","2020-02-11 00:00:00","37.000","10.000","0.700","19.000","0.760","1017.000","","0.000","-99.000","-99.000","-99.000","24.800","","14.700",""
"C0V760","2020-02-11 00:00:00","30.000","37.000","0.800","18.100","0.780","1019.400","","0.000","-99.000","-99.000","-99.000","24.100","","14.400",""
"C0T9I0","2020-02-11 00:00:00","152.000","212.000","1.700","15.000","0.790","1008.500","","0.500","-99.000","-99.000","-99.000","19.000","","12.800",""
"C0O980","2020-02-11 00:00:00","18.000","0.000","0.000","16.500","0.900","1021.900","","0.000","-99.000","-99.000","-99.000","26.000","","11.600",""
"C0R270","2020-02-11 00:00:00","51.000","38.000","1.500","18.500","0.900","1015.500","","0.000","-99.000","-99.000","-99.000","25.000","","16.000",""
"C0T9H0","2020-02-11 00:00:00","725.000","161.000","2.400","11.700","0.990","942.500","","0.000","-99.000","-99.000","-99.000","15.200","","9.200",""
"C0A660","2020-02-11 00:00:00","97.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0A890","2020-02-11 00:00:00","40.000","344.000","0.500","-99.000","0.970","-99.000","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0O840","2020-02-11 00:00:00","134.000","7.000","1.000","15.900","0.890","1005.500","","0.000","-99.000","-99.000","-99.000","22.900","","11.800",""
"C0R530","2020-02-11 00:00:00","16.000","3.000","1.800","18.500","0.720","1020.700","","0.000","-99.000","-99.000","-99.000","21.900","","15.500",""
"C0G870","2020-02-11 00:00:00","12.000","9.000","1.600","16.400","0.910","1022.600","","0.000","-99.000","-99.000","-99.000","20.500","","12.000",""
"C0M820","2020-02-11 00:00:00","980.000","0.000","0.200","12.800","0.830","912.700","","0.000","-99.000","-99.000","-99.000","17.700","","10.100",""
"C0F9S0","2020-02-11 00:00:00","43.000","232.000","1.100","17.100","0.870","1017.900","","0.000","-99.000","-99.000","-99.000","23.800","","13.300",""
"C0R160","2020-02-11 00:00:00","45.000","41.000","0.600","18.000","0.950","1016.800","","0.000","-99.000","-99.000","-99.000","24.700","","13.900",""
"C0A950","2020-02-11 00:00:00","60.000","154.000","2.800","18.100","0.700","1016.200","","0.000","8.800","138.000","","18.200","","14.600",""
"C0F9L0","2020-02-11 00:00:00","253.000","0.000","0.200","15.400","0.890","992.500","","0.000","-99.000","-99.000","-99.000","22.900","","11.600",""
"C0V680","2020-02-11 00:00:00","40.000","2.000","0.900","18.000","0.760","1017.800","","0.000","-99.000","-99.000","-99.000","24.000","","14.000",""
"CM0010","2020-02-11 00:00:00","68.000","218.000","0.600","17.200","0.650","1015.100","","0.000","-99.000","-99.000","-99.000","20.100","","12.300",""
"C0K500","2020-02-11 00:00:00","12.000","347.000","1.300","16.200","0.980","1020.700","","0.000","-99.000","-99.000","-99.000","23.500","","11.500",""
"C0X260","2020-02-11 00:00:00","39.000","357.000","1.300","16.200","0.910","1018.900","","0.000","-99.000","-99.000","-99.000","23.500","","12.000",""
"C0ACA0","2020-02-11 00:00:00","25.000","0.000","0.000","17.000","0.640","1018.800","","0.000","-99.000","-99.000","-99.000","20.600","","13.500",""
"C0X180","2020-02-11 00:00:00","62.000","0.000","0.000","16.200","0.990","1015.100","","0.000","-99.000","-99.000","-99.000","24.900","","12.000",""
